Borough,CD,Crime
Manhattan,101,17.21
Manhattan,102,28.97
Manhattan,103,14.03
Manhattan,104,22.61
Manhattan,105,98.63
Manhattan,106,12.71
Manhattan,107,9.03
Manhattan,108,9.47
Manhattan,109,12.99
Manhattan,110,16.48
Manhattan,111,18.15
Manhattan,112,10.84
Bronx,201,19.91
Bronx,202,32.91
Bronx,203,15.97
Bronx,204,15.26
Bronx,205,13.51
Bronx,206,19.76
Bronx,207,14.91
Bronx,208,9.05
Bronx,209,14.03
Bronx,210,8.42
Bronx,211,9.59
Bronx,212,14.13
Brooklyn,301,15.36
Brooklyn,302,22.64
Brooklyn,303,21.1
Brooklyn,304,17.49
Brooklyn,305,21.06
Brooklyn,306,12.72
Brooklyn,307,9.37
Brooklyn,308,18.48
Brooklyn,309,16.43
Brooklyn,310,7.65
Brooklyn,311,7.72
Brooklyn,312,5.95
Brooklyn,313,13
Brooklyn,314,11.41
Brooklyn,315,10.3
Brooklyn,316,23.19
Brooklyn,317,15.44
Brooklyn,318,12.78
Queens,401,9.45
Queens,402,10.59
Queens,403,9.74
Queens,404,9.2
Queens,405,9.46
Queens,406,7.37
Queens,407,8.5
Queens,408,8.4
Queens,409,11.59
Queens,410,13.14
Queens,411,7.24
Queens,412,16.09
Queens,413,9.9
Queens,414,11.76
Staten Island,501,10.68
Staten Island,502,6.28
Staten Island,503,3.75
