Borough,CD,Life Expectancy
Manhattan,101,85
Manhattan,102,84
Manhattan,103,81
Manhattan,104,82
Manhattan,105,83
Manhattan,106,85
Manhattan,107,84
Manhattan,108,85
Manhattan,109,80
Manhattan,110,75
Manhattan,111,76
Manhattan,112,83
Bronx,201,76
Bronx,202,78
Bronx,203,75
Bronx,204,77
Bronx,205,79
Bronx,206,77
Bronx,207,79
Bronx,208,80
Bronx,209,79
Bronx,210,80
Bronx,211,79
Bronx,212,80
Brooklyn,301,80
Brooklyn,302,79
Brooklyn,303,75
Brooklyn,304,79
Brooklyn,305,78
Brooklyn,306,80
Brooklyn,307,82
Brooklyn,308,78
Brooklyn,309,80
Brooklyn,310,81
Brooklyn,311,82
Brooklyn,312,83
Brooklyn,313,80
Brooklyn,314,82
Brooklyn,315,83
Brooklyn,316,74
Brooklyn,317,82
Brooklyn,318,81
Queens,401,82
Queens,402,84
Queens,403,84
Queens,404,84
Queens,405,81
Queens,406,84
Queens,407,84
Queens,408,83
Queens,409,82
Queens,410,81
Queens,411,84
Queens,412,79
Queens,413,82
Queens,414,76
Staten Island,501,78
Staten Island,502,80
Staten Island,503,81
